Galaxy,n_points,log10_rho_s_Msun_kpc3,log10_r_s_kpc,rho_s_Msun_kpc3,r_s_kpc,rss,rms_km_s
CamB,9,4.000000000056257,-1.9999999999691866,10000.00000129537,0.010000000000709504,191.8355372313772,4.616823550058551
DDO064,14,4.325247256585382,2.999999999995729,21146.926537245155,999.9999999901661,154.96547210763393,3.3270050035132837
DDO154,12,5.643633462992578,1.578449103398754,440183.19970664073,37.88341341519882,103.38560190445799,2.935211546953899
DDO161,31,4.000000000000001,2.99825291441453,10000.00000000002,995.9852674485223,439.6898743820529,3.766104663296671
DDO168,10,4.308189899494831,2.9999999999999765,20332.45873164208,999.9999999999458,211.72925300198733,4.601404709455443
DDO170,8,5.705848044608208,1.4612977901140292,507981.67364305496,28.926626639118822,48.24908266000306,2.45583699224936
ESO079-G014,15,4.509749891388462,2.9999999999999996,32340.735417099255,999.999999999999,1579.0548552637715,10.260132732292085
ESO116-G012,15,4.579508679690996,2.999999999999697,37975.95286657927,999.9999999993026,395.16971510010586,5.132703739097006
ESO444-G084,7,6.789024511036924,0.9616355853373245,6152115.9350229725,9.154520158412495,31.367290538025927,2.1168470670863955
ESO563-G021,30,4.715778129367999,2.999999999999903,51973.04109001262,999.9999999997771,17565.551349125646,24.197487024569064
F561-1,6,4.000000000000064,-1.999999999999767,10000.000000001473,0.010000000000005364,117.38608807425486,4.423160409975633
F563-1,17,6.5767083785650415,1.210903409154481,3773187.426567989,16.25187259862214,1282.135928719494,8.684455107426798
F563-V1,6,8.320079827890593,-1.0242911151338878,208968020.07402015,0.09456030946993191,21.409484662939718,1.8889805302922755
F563-V2,10,6.90218200732984,1.0858480750378003,7983291.868457298,12.185632463743088,837.1515901167623,9.149598844303297
F565-V2,7,4.398146432572883,2.9999999999979794,25011.885539348856,999.9999999953474,164.9690788237369,4.85458662097339
F567-2,5,6.133147502706648,0.9591146370406872,1358774.8591679581,9.101534864440733,67.68007377746844,3.6791323373172764
